Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint
1,3,0,0,7,20
2,2.75,0,0,7,20
3,2.5,0,0,7,20
4,2.3,0,0,6.5,20
5,2.4,7.61E-06,0,6,20
6,2.6,0.027888613,0,6,22
7,2.85,0.107280194,0,4,22
8,3.35,0.232245258,0,5,22
9,4,0.340959516,0,6,22
10,3.75,0.459732129,0,4,22
11,3.25,0.513976226,0,4,22
12,3,0.522277516,0,3,22
13,3,0.510755903,0,3,22
14,3,0.49442371,0,3,22
15,3,0.385888935,0,2,22
16,3.175,0.307433548,0,2,22
17,3.35,0.194586258,0,2,22
18,3.85,0.087847871,0,2,22
19,4.35,0.01736629,0,2,22
20,4.55,0,0,2,22
21,4.35,0,0,1.9,22
22,3.85,0,0,2,22
23,3.35,0,0,1,20
24,3,0,0,1,20
25,3,0,0,2,20
26,2.75,0,0,2,20
27,2.5,0,0,2,20
28,2.3,0,0,2,20
29,2.4,0.00000761,0,1,20
30,2.6,0.027888613,0,-0.4,22
31,2.85,0.107280194,0,-2,22
32,3.35,0.232245258,0,-2.8,22
33,4,0.340959516,0,-2.8,22
34,3.75,0.459732129,0,-2.9,22
35,3.25,0.513976226,0,-3,22
36,3,0.522277516,0,-2,22
37,3,0.510755903,0,-2,22
38,3,0.49442371,0,-1,22
39,3,0.385888935,0,-1,22
40,3.175,0.307433548,0,-2,22
41,3.35,0.194586258,0,-2,22
42,3.85,0.087847871,0,-2,22
43,4.35,0.01736629,0,-2,22
44,4.55,0,0,-2,22
45,4.35,0,0,-3,22
46,3.85,0,0,-3,22
47,3.35,0,0,-3,20
48,3,0,0,-3,20
49,3,0,0,-3,20
50,2.75,0,0,-3,20
51,2.5,0,0,-3,20
52,2.3,0,0,-3,20
53,2.4,0.00000761,0,-3,20
54,2.6,0.027888613,0,-2,22
55,2.85,0.107280194,0,-2,22
56,3.35,0.232245258,0,-2,22
57,4,0.340959516,0,-1,22
58,3.75,0.459732129,0,-1,22
59,3.25,0.513976226,0,-1,22
60,3,0.522277516,0,-1,22
61,3,0.510755903,0,-1,22
62,3,0.49442371,0,-1,22
63,3,0.385888935,0,-1,22
64,3.175,0.307433548,0,-1,22
65,3.35,0.194586258,0,-1,22
66,3.85,0.087847871,0,-1,22
67,4.35,0.01736629,0,-1,22
68,4.55,0,0,-1,22
69,4.35,0,0,-1,22
70,3.85,0,0,0,22
71,3.35,0,0,1,20
72,3,0,0,1,20
73,3,0,0,0,20
