pMonth,pWeek,pDay,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pWH_use,pMonthly_Network_Cost,pHP_Month,pAC_Month,,,true NYISO lmp
1,1,1,1,0.0857,0,0.05,0,0,0.686177221,0,0,7,18,0.22825,0.22825,0,0,0,0,0,3,FALSE,FALSE,,,0.04565
1,1,1,2,0.0797,0,0.05,0,0,0.559236655,0,0,7,18,0.1986,0.1986,0,0,0,0,0,3,FALSE,FALSE,,,0.03972
1,1,1,3,0.0854,0,0.05,0,0,0.509842948,0,0,7,18,0.227,0.227,0,0,0,0,0,4,FALSE,FALSE,,,0.0454
1,1,1,4,0.0804,0,0.05,0,0,0.496291477,0,0,6.5,18,0.20195,0.20195,0,0,0,0,0,5,TRUE,FALSE,,,0.04039
1,1,1,5,0.0819,0,0.05,0,0,0.494375852,7.61E-06,0,6,20,0.20945,0.20945,0,0,0,0,0,6,TRUE,FALSE,,,0.04189
1,1,1,6,0.0796,0,0.05,0,0,0.549267169,0.027888613,0,6,20,0.19805,0.19805,0,0,0,0,0,7,TRUE,TRUE,,,0.03961
1,1,1,7,0.0774,0,0.05,0,0,0.771763673,0.107280194,0,4,20,0.18685,0.18685,0,0,0,0,-0.25,8,TRUE,TRUE,,,0.03737
1,1,1,8,0.0758,0,0.05,0,0,1.075429452,0.232245258,0,5,20,0.17885,0.17885,0,0,0,0,-0.5,8,TRUE,TRUE,,,0.03577
1,1,1,9,0.0747,0,0.05,0,0,1.058161744,0.340959516,0,6,17,0.1735,0.1735,0,0,0,0,-0.25,9,TRUE,FALSE,,,0.0347
1,1,1,10,0.0730,0,0.05,0,0,0.900032543,0.459732129,0,4,17,0.16515,0.16515,0,0,0,0,0,7,TRUE,FALSE,,,0.03303
1,1,1,11,0.0780,0,0.05,0,0,0.897688162,0.513976226,0,4,17,0.19005,0.19005,0,0,0,0,0,5,FALSE,FALSE,,,0.03801
1,1,1,12,0.0760,0,0.05,0,0,0.915612161,0.522277516,0,3,17,0.18005,0.18005,0,0,0,0,0,4,FALSE,FALSE,,,0.03601
1,1,1,13,0.0830,0,0.05,0,0,0.895700208,0.510755903,0,3,17,0.21515,0.21515,0,0,0,0,0,,,,,,0.04303
1,1,1,14,0.0807,0,0.05,0,0,0.8695078,0.49442371,0,3,17,0.2034,0.2034,0,0,0,0,0,,,,,,0.04068
1,1,1,15,0.0906,0,0.05,0,0,0.867903468,0.385888935,0,2,17,0.2528,0.2528,0,0,0,0,0,,,,,,0.05056
1,1,1,16,0.0814,0,0.05,0,0,0.936188928,0.307433548,0,2,17,0.20675,0.20675,0,0,0,0,0,,,,,,0.04135
1,1,1,17,0.0778,0,0.05,0,0,1.191866071,0.194586258,0,2,20,0.1888,0.1888,0,0,0,0,0,,,,,,0.03776
1,1,1,18,0.0793,0,0.05,0,0,1.665417631,0.087847871,0,2,20,0.1967,0.1967,0,0,0,0,-0.25,,,,,,0.03934
1,1,1,19,0.0859,0,0.05,0,0,1.963402199,0.01736629,0,2,20,0.2296,0.2296,0,0,0,0,-0.75,,,,,,0.04592
1,1,1,20,0.0950,0,0.05,0,0,1.955154118,0,0,2,20,0.27495,0.27495,0,0,0,0,-1.25,,,,,,0.05499
1,1,1,21,0.0965,0,0.05,0,0,1.805908572,0,0,1.9,20,0.28265,0.28265,0,0,0,0,-0.5,,,,,,0.05653
1,1,1,22,0.1113,0,0.05,0,0,1.640923666,0,0,2,18,0.3563,0.3563,0,0,0,0,0,,,,,,0.07126
1,1,1,23,0.0905,0,0.05,0,0,1.321666954,0,0,1,18,0.25255,0.25255,0,0,0,0,0,,,,,,0.05051
1,1,1,24,0.0956,0,0.05,0,0,1.001137312,0,0,1,18,0.278,0.278,0,0,0,0,0,,,,,,0.0556
1,1,2,25,0.0968,0,0.05,0,0,0.679603538,0,0,2,18,0.2838,0.2838,0,0,0,0,0,,,,,,0.05676
1,1,2,26,0.0885,0,0.05,0,0,0.55528963,0,0,2,18,0.24245,0.24245,0,0,0,0,0,,,,,,0.04849
1,1,2,27,0.0943,0,0.05,0,0,0.50723171,0,0,2,18,0.27145,0.27145,0,0,0,0,0,,,,,,0.05429
