Hour starting,Tz,Tx,Qrad,Qconv,Qwindow_solar,Qsurface_solar,Tground,,,,,,,Tint,Tair,Qrad,Qconv,Qwindow,Qsurface,Tground
23,22.26435626,19.8998375,656.1603193,614.3651411,0,0,22.225,,,,,,,1.193115274,0.016053571,8.15E-05,0.0002060590,6.88E-05,3.42E-08,0.009961004
24,22.40389889,19.3998375,646.2563008,591.2557646,0,0,22.225,,,,,,,-0.234023999,0.005785707,-6.01E-05,-0.0001646440,0.00000482,-1.53E-06,0.009961004
1,22.40989889,19.3998375,646.2563008,591.2557646,0,0,22.225,,22.24 ,22.24,22.41,,,0,-0.010813564,-0.000012447,-0.0000065900,-6.89E-05,0.00000199,0.009961004
2,22.36953002,19.10817083,646.2563008,591.2557646,0,0,22.225,,22.39 ,22.39,22.37,,,,,,,,,
3,22.30282402,18.5498375,646.2563008,591.2557646,0,0,22.225,,22.41 ,22.41,22.30,,,,,,,,,
4,22.22132082,18.00817083,646.2563008,591.2557646,0,0,22.225,,22.38 ,22.38,22.22,,,,,,,,,
5,22.16789207,17.4498375,742.5072392,632.5061668,324.7603599,4510.290977,22.225,,22.30 ,22.30,22.17,,,,,,,,,
6,22.23383849,17.5498375,762.3152763,678.7249198,1442.58986,19243.01454,22.225,,22.13 ,22.13,22.23,,,name,value,,,,,
7,22.49322712,18.44150417,1167.127067,889.9452816,2591.051529,33019.74585,22.225,,21.99 ,21.99,22.49,,,Tint_k1,-0.234023999,,,,,
8,23.24253818,19.89150417,3160.186112,2423.719334,3445.362789,41888.63432,22.225,,21.94 ,21.94,23.24,,,Tint_k2,1.193115274,,,,,
9,23.66664344,21.24150417,3160.186112,2423.719334,3802.148991,47603.02462,22.225,,21.84 ,21.84,23.67,,,Tair_k,-0.010813564,,,,,
10,23.874307,21.6998375,3160.186112,2423.719334,3642.982779,50588.97322,22.225,,23.21 ,23.21,23.87,,,Tair_k1,0.005785707,,,,,
11,23.97281421,21.99150417,3160.186112,2423.719334,3146.062577,45925.83001,22.225,,23.73 ,23.73,23.97,,,Tair_k2,0.016053571,,,,,
12,23.97718714,22.5498375,2931.567802,2073.611729,3101.632801,42157.07475,22.225,,23.96 ,23.96,23.98,,,Qrad_k,-0.000012447,,,,,
13,24.14255361,22.15817083,3156.224505,2414.475583,3129.398683,43908.60585,22.225,,24.12 ,24.12,24.14,,,Qrad_k1,-6.01E-05,,,,,
14,24.28085795,22.34150417,3156.224505,2414.475583,3438.079235,49548.94751,22.225,,23.92 ,23.92,24.28,,,Qrad_k2,8.15E-05,,,,,
15,24.44536952,22.7998375,3156.224505,2414.475583,3429.36187,45115.69179,22.225,,24.15 ,24.15,24.45,,,Qconv_k,-0.00000659,,,,,
16,24.60671915,22.4498375,3156.224505,2414.475583,3457.112792,42164.83772,22.225,,24.30 ,24.30,24.61,,,Qconv_k1,-0.000164644,,,,,
17,24.32568039,21.55817083,1709.440198,1238.666984,2886.874825,35604.0154,22.225,,24.53 ,24.53,24.33,,,Qconv_k2,0.000206059,,,,,
18,23.97948255,20.45817083,1147.31903,843.7265285,1830.511611,23957.64009,22.225,,25.14 ,25.14,23.98,,,Qwindow_k,-6.89E-05,,,,,
19,23.69946124,19.6498375,1147.31903,843.7265285,636.6610541,8584.73798,22.225,,24.64 ,24.64,23.70,,,Qwindow_k1,0.00000482,,,,,
20,23.42602807,19.10817083,944.9131346,738.1163477,0,0,22.225,,24.12 ,24.12,23.43,,,Qwindow_k2,6.88E-05,,,,,
21,23.25293952,18.8998375,944.9131346,738.1163477,0,0,22.225,,23.80 ,23.80,23.25,,,Qsurface_k,0.00000199,,,,,
22,23.10207098,18.5498375,752.4112578,655.6155433,0,0,22.225,,23.42 ,23.42,23.10,,,Qsurface_k1,-1.53E-06,,,,,
23,22.96944847,18.2998375,656.1603193,614.3651411,0,0,22.225,,23.28 ,23.28,22.97,,,Qsurface_k2,3.42E-08,,,,,
24,22.85470156,18.00817083,646.2563008,591.2557646,0,0,22.225,,23.11 ,23.11,22.85,,,Tground_k,0.009961004,,,,,
,,,,,,,,,,,,,,Tground_k1,0.009961004,,,,,
,,,,,,,,,,,,,,Tground_k2,0.009961004,,,,,
