"Hour","SetPoint","Outdoor_Temp","Indoor_Temp","Heat_Pump_kW"
1.0,20.0,12.0,20.0,0.0
2.0,20.0,12.0,18.99999999999998,0.0
3.0,20.0,12.0,18.124999999999982,0.8541666666666904
4.0,20.0,13.0,18.0,0.8333333333333304
5.0,20.0,13.0,18.0,3.5
6.0,22.0,13.0,20.0,1.1666666666666667
7.0,22.0,14.0,20.0,0.9999999999999964
8.0,22.0,14.0,20.0,1.0
9.0,22.0,15.0,20.0,0.8333333333333334
10.0,22.0,15.0,20.0,0.8333333333333304
11.0,22.0,16.0,20.0,0.6666666666666666
12.0,22.0,16.0,20.0,0.6666666666666666
13.0,22.0,16.0,20.0,0.6666666666666643
14.0,22.0,16.0,20.0,0.6666666666666666
15.0,22.0,16.0,20.0,0.6666666666666666
16.0,22.0,16.0,20.0,0.6666666666666643
17.0,22.0,16.0,20.0,0.6666666666666666
18.0,22.0,15.0,20.0,0.8333333333333334
19.0,22.0,15.0,20.0,0.8333333333333304
20.0,22.0,14.0,20.0,1.0
21.0,22.0,14.0,20.0,1.0
22.0,22.0,13.0,20.0,0.0
23.0,20.0,13.0,19.125,0.0
24.0,20.0,12.0,18.359375,0.5807291666666666
25.0,20.0,12.0,18.0,0.9999999999999964
26.0,20.0,12.0,18.0,1.0
27.0,20.0,12.0,18.0,1.0
28.0,20.0,13.0,18.0,0.8333333333333304
29.0,20.0,13.0,18.0,3.5
30.0,22.0,13.0,20.0,1.1666666666666667
31.0,22.0,14.0,20.0,0.9999999999999964
32.0,22.0,14.0,20.0,1.0
33.0,22.0,15.0,20.0,0.8333333333333334
34.0,22.0,15.0,20.0,0.8333333333333304
35.0,22.0,16.0,20.0,0.6666666666666666
36.0,22.0,16.0,20.0,0.6666666666666666
37.0,22.0,16.0,20.0,0.6666666666666643
38.0,22.0,16.0,20.0,0.6666666666666666
39.0,22.0,16.0,20.0,0.6666666666666666
40.0,22.0,16.0,20.0,0.6666666666666643
41.0,22.0,16.0,20.0,0.6666666666666666
42.0,22.0,15.0,20.0,0.8333333333333334
43.0,22.0,15.0,20.0,0.8333333333333304
44.0,22.0,14.0,20.0,1.0
45.0,22.0,14.0,20.0,1.0
46.0,22.0,13.0,20.0,0.0
47.0,20.0,13.0,19.125,0.0
48.0,20.0,12.0,18.359375,0.5807291666666666
49.0,20.0,12.0,18.0,0.9999999999999964
50.0,20.0,12.0,18.0,1.0
51.0,20.0,12.0,18.0,1.0
52.0,20.0,13.0,18.0,0.8333333333333304
53.0,20.0,13.0,18.0,3.5
54.0,22.0,13.0,20.0,1.1666666666666667
55.0,22.0,14.0,20.0,0.9999999999999964
56.0,22.0,14.0,20.0,1.0
