"Month","Week","Hour","Buy_Energy","Sell_Energy","Power_Consumed","Power_Produced","Power_Purchased","Power_Export","Batt_Discharge","Batt_Charge","Set_point","Outdoor_temp","Indoor_temp","Battery_SOC","Battery_SOH","HP_kW","Scheduled_Loads_kW","WH_kW","AC_kW","NonControllableLoads_kW","EndUseLoads_kW","Month_1","Week_1","Hour_1","Buy_Energy_1","Sell_Energy_1","Power_Consumed_1","Power_Produced_1","Power_Purchased_1","Power_Export_1","Batt_Discharge_1","Batt_Charge_1","Set_point_1","Outdoor_temp_1","Indoor_temp_1","Battery_SOC_1","Battery_SOH_1","HP_kW_1","Scheduled_Loads_kW_1","WH_kW_1","AC_kW_1","NonControllableLoads_kW_1","EndUseLoads_kW_1","Month_2","Week_2","Hour_2","Buy_Energy_2","Sell_Energy_2","Power_Consumed_2","Power_Produced_2","Power_Purchased_2","Power_Export_2","Batt_Discharge_2","Batt_Charge_2","Set_point_2","Outdoor_temp_2","Indoor_temp_2","Battery_SOC_2","Battery_SOH_2","HP_kW_2","Scheduled_Loads_kW_2","WH_kW_2","AC_kW_2","NonControllableLoads_kW_2","EndUseLoads_kW_2","Month_3","Week_3","Hour_3","Buy_Energy_3","Sell_Energy_3","Power_Consumed_3","Power_Produced_3","Power_Purchased_3","Power_Export_3","Batt_Discharge_3","Batt_Charge_3","Set_point_3","Outdoor_temp_3","Indoor_temp_3","Battery_SOC_3","Battery_SOH_3","HP_kW_3","Scheduled_Loads_kW_3","WH_kW_3","AC_kW_3","NonControllableLoads_kW_3","EndUseLoads_kW_3","Month_4","Week_4","Hour_4","Buy_Energy_4","Sell_Energy_4","Power_Consumed_4","Power_Produced_4","Power_Purchased_4","Power_Export_4","Batt_Discharge_4","Batt_Charge_4","Set_point_4","Outdoor_temp_4","Indoor_temp_4","Battery_SOC_4","Battery_SOH_4","HP_kW_4","Scheduled_Loads_kW_4","WH_kW_4","AC_kW_4","NonControllableLoads_kW_4","EndUseLoads_kW_4"
1.0,1.0,1.0,0.1,0.03,2.404093021103497,0.0,2.404093021103497,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.5031740736179757,0.0,0.0,0.0,0.9009189474855454,2.404093021103521,1.0,1.0,1.0,0.1,0.03,2.0889908755267417,0.0,2.0889908755267417,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.1856147359172455,0.0,0.0,0.0,0.9033761396095079,2.088990875526753,1.0,1.0,1.0,0.1,0.03,1.9326062314635406,0.0,1.9326062314635406,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.3684722623951076,0.0,0.0,0.0,0.5641339690684443,1.9326062314635517,1.0,1.0,1.0,0.1,0.03,2.5015825403530116,0.0,2.5015825403530116,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.4382877189622274,0.0,0.0,0.0,1.0632948213907896,2.501582540353017,1.0,1.0,1.0,0.1,0.03,2.253487523901438,0.0,2.253487523901438,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.557080624230741,0.0,0.12037383177570105,0.0,0.5760330678949962,2.253487523901438
1.0,1.0,2.0,0.1,0.03,2.1243856925641555,0.0,2.1243856925641555,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.5031740736179817,0.0,0.0,0.0,0.6212116189461738,2.1243856925641555,1.0,1.0,2.0,0.1,0.03,1.9237442101348836,0.0,1.9237442101348836,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.1856147359172455,0.0,0.0,0.0,0.7381294742176381,1.9237442101348836,1.0,1.0,2.0,0.1,0.03,1.8294141578365761,0.0,1.8294141578365761,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.3684722623951078,0.0,0.0,0.0,0.46094189544146824,1.8294141578365761,1.0,1.0,2.0,0.1,0.03,2.4931878911107246,0.0,2.4931878911107246,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.4382877189622303,0.0,0.18610453648915679,0.0,0.8687956356593376,2.493187891110725,1.0,1.0,2.0,0.1,0.03,2.270735674909213,0.0,2.270735674909213,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.5570806242307285,0.0,0.24299065420560764,0.0,0.47066439647287706,2.270735674909213
1.0,1.0,3.0,0.1,0.03,2.010752905610942,0.0,2.010752905610942,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.503174073617984,0.0,0.0,0.0,0.507578831992958,2.010752905610942,1.0,1.0,3.0,0.1,0.03,1.879419357487595,0.0,1.879419357487595,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.1856147359172462,0.0,0.01955706645426744,0.0,0.6742475551160815,1.8794193574875953,1.0,1.0,3.0,0.1,0.03,1.8042879931331437,0.0,1.8042879931331437,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.368472262395107,0.0,0.014766366219168959,0.0,0.42104936451886765,1.8042879931331437,1.0,1.0,3.0,0.1,0.03,2.4818928434015657,0.0,2.4818928434015657,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.43828771896223,0.0,0.24999999999999956,0.0,0.793605124439336,2.4818928434015657,1.0,1.0,3.0,0.1,0.03,2.230001703499484,0.0,2.230001703499484,0.0,-0.0,-0.0,20.0,7.0,20.0,1.0,0.0,1.557080624230734,0.0,0.24299065420560712,0.0,0.429930425063143,2.230001703499484
1.0,1.0,4.0,0.1,0.03,2.0246385366327666,0.0,2.0246385366327666,0.0,-0.0,-0.0,20.0,6.5,20.0,1.0,0.0,1.5609884610648315,0.0,0.0,0.0,0.46365007556793525,2.0246385366327666,1.0,1.0,4.0,0.1,0.03,2.0891053515912543,0.0,2.0891053515912543,0.0,-0.0,-0.0,20.0,6.5,20.0,1.0,0.0,1.231215302683295,0.0,0.20000000000000026,0.0,0.6578900489079589,2.0891053515912543,1.0,1.0,4.0,0.1,0.03,2.030413637865221,0.0,2.030413637865221,0.0,-0.0,-0.0,20.0,6.5,20.0,1.0,0.0,1.421105810948767,0.0,0.19847328244274834,0.0,0.41083454447370554,2.030413637865221,1.0,1.0,4.0,0.1,0.03,2.517958434864977,0.0,2.517958434864977,0.0,-0.0,-0.0,20.0,6.5,20.0,1.0,0.0,1.4936064773838504,0.0,0.2500000000000002,0.0,0.7743519574811266,2.517958434864977,1.0,1.0,4.0,0.1,0.03,2.2794591415841654,0.0,2.2794591415841654,0.0,-0.0,-0.0,20.0,6.5,20.0,1.0,0.0,1.6169683405473032,0.0,0.24299065420560753,0.0,0.4195001468312547,2.279459141584166
1.0,1.0,5.0,0.1,0.03,4.982342059237867,3.044e-5,4.982311619237867,0.0,-0.0,-0.0,20.0,6.0,20.0,1.0,0.0,4.529940313402633,0.0,0.0,0.0,0.4524017458352346,4.982342059237867,1.0,1.0,5.0,0.1,0.03,4.101557685919697,3.044e-5,4.101527245919697,0.0,-0.0,-0.0,20.0,6.0,20.0,1.0,0.0,3.2479497138110967,0.0,0.20000000000000115,0.0,0.653607972108599,4.101557685919697,1.0,1.0,5.0,0.1,0.03,5.4808411367875784,3.044e-5,5.480810696787579,0.0,-0.0,-0.0,20.0,6.0,20.0,1.0,0.0,4.874207351560526,0.0,0.19847328244274764,0.0,0.40816050278430543,5.4808411367875784,1.0,1.0,5.0,0.1,0.03,5.459758983796795,3.044e-5,5.459728543796795,0.0,-0.0,-0.0,20.0,6.0,20.0,1.0,0.0,4.440447130748275,0.0,0.25000000000000006,0.0,0.76931185304852,5.459758983796795,1.0,1.0,5.0,0.1,0.03,5.5625817709827325,3.044e-5,5.562551330982733,0.0,-0.0,-0.0,20.0,6.0,20.0,1.0,0.0,4.902821413808118,0.0,0.24299065420560764,0.0,0.41676970296900767,5.562581770982733
1.0,1.0,6.0,0.1,0.03,4.082290483465626,0.111554452,3.970736031465626,0.0,-0.0,-0.0,22.0,6.0,21.261749601959792,1.0,0.0,3.4680055686625377,0.0,0.16482776344023561,0.0,0.44945715136285275,4.082290483465626,1.0,1.0,6.0,0.1,0.03,2.383896530160591,0.111554452,2.272342078160591,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.459218136513531,0.0,0.20000000000000015,0.0,0.7246783936470599,2.383896530160591,1.0,1.0,6.0,0.1,0.03,3.7180508823690857,0.111554452,3.6064964303690856,0.0,-0.0,-0.0,22.0,6.0,21.40340302516788,1.0,0.0,3.067035540845986,0.0,0.1984732824427465,0.0,0.4525420590803532,3.7180508823690857,1.0,1.0,6.0,0.1,0.03,2.8731636690696853,0.111554452,2.7616092170696853,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.7702002694919745,0.0,0.24999999999999972,0.0,0.8529633995777112,2.8731636690696853,1.0,1.0,6.0,0.1,0.03,4.242338381867134,0.111554452,4.130783929867134,0.0,-0.0,-0.0,22.0,6.0,21.308812643273107,1.0,0.0,3.5372603423225963,0.0,0.24299065420560712,0.0,0.4620873853389299,4.242338381867134
1.0,1.0,7.0,0.1,0.03,2.8272661171139313,0.429120776,2.3981453411139313,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,2.0813179480864297,0.0,0.24761904761904846,0.0,0.49832912140845304,2.8272661171139313,1.0,1.0,7.0,0.1,0.03,2.853378016481114,0.429120776,2.424257240481114,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.6416204035777227,0.0,0.20000000000000026,0.0,1.0117576129033912,2.853378016481114,1.0,1.0,7.0,0.1,0.03,2.7250962987852145,0.429120776,2.2959755227852146,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.8948077479316847,0.0,0.19847328244274834,0.0,0.6318152684107813,2.725096298785214,1.0,1.0,7.0,0.1,0.03,3.432337650691775,0.429120776,3.003216874691775,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.9914753031784727,0.0,0.2500000000000002,0.0,1.190862347513302,3.4323376506917747,1.0,1.0,7.0,0.1,0.03,3.044090388763447,0.429120776,2.614969612763447,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,2.1559577873964044,0.0,0.24299065420560753,0.0,0.6451419471614351,3.0440903887634474
1.0,1.0,8.0,0.1,0.03,2.9090489619915747,0.928981032,1.9800679299915747,0.0,-0.0,-0.0,22.0,5.0,22.0,1.0,0.0,1.9656891731927422,0.0,0.2476190476190484,0.0,0.695740741179784,2.9090489619915747,1.0,1.0,8.0,0.1,0.03,3.15182550728462,0.928981032,2.22284447528462,0.0,-0.0,-0.0,22.0,5.0,22.0,1.0,0.0,1.5504192700456247,0.0,0.20000000000000115,0.0,1.4014062372389946,3.15182550728462,1.0,1.0,8.0,0.1,0.03,2.8631542302470088,0.928981032,1.9341731982470085,0.0,-0.0,-0.0,22.0,5.0,22.0,1.0,0.0,1.789540650824365,0.0,0.19847328244274764,0.0,0.8751402969798958,2.8631542302470083,1.0,1.0,8.0,0.1,0.03,3.780325667833937,0.928981032,2.8513446358339367,0.0,-0.0,-0.0,22.0,5.0,22.0,1.0,0.0,1.8808377863352208,0.0,0.25000000000000006,0.0,1.649487881498716,3.780325667833937,1.0,1.0,8.0,0.1,0.03,4.172772362337794,0.928981032,3.2437913303377934,0.0,-0.0,-0.0,22.0,5.0,22.0,1.0,0.0,2.036182354763273,1.0,0.24299065420560764,0.0,0.8935993533689128,4.172772362337794
1.0,1.0,9.0,0.1,0.03,3.0613642273710653,1.363838064,1.6975261633710652,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.8500603982990544,0.0,0.24761904761904774,0.0,0.9636847814529632,3.0613642273710653,1.0,1.0,9.0,0.1,0.03,3.581046466399539,1.363838064,2.217208402399539,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.459218136513531,0.0,0.20000000000000015,0.0,1.921828329886008,3.581046466399539,1.0,1.0,9.0,0.1,0.03,2.7341932587358233,1.363838064,1.3703551947358232,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.6842735537170523,0.0,0.1984732824427465,0.0,0.8514464225760245,2.7341932587358233,1.0,1.0,9.0,0.1,0.03,4.282237112365874,1.363838064,2.918399048365874,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.7702002694919745,0.0,0.24999999999999972,0.0,2.2620368428738997,4.282237112365874,1.0,1.0,9.0,0.1,0.03,3.384841353620229,1.363838064,2.0210032896202286,0.0,-0.0,-0.0,22.0,6.0,22.0,1.0,0.0,1.9164069221301347,0.0,0.24299065420560712,0.0,1.2254437772844875,3.3848413536202293
1.0,1.0,10.0,0.1,0.03,3.266530616397742,1.838928516,1.4276021003977422,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,2.0813179480864297,0.0,0.24761904761904846,0.0,0.9375936206922637,3.266530616397742,1.0,1.0,10.0,0.1,0.03,3.755375301389722,1.838928516,1.916446785389722,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.6416204035777227,0.0,0.20000000000000026,0.0,1.9137548978119994,3.755375301389722,1.0,1.0,10.0,0.1,0.03,2.8030115634318755,1.838928516,0.9640830474318755,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.8948077479316847,0.0,0.19847328244274834,0.0,0.7097305330574426,2.8030115634318755,1.0,1.0,10.0,0.1,0.03,4.494009527886196,1.838928516,2.655081011886196,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,1.9914753031784727,0.0,0.2500000000000002,0.0,2.252534224707723,4.494009527886195,1.0,1.0,10.0,0.1,0.03,3.6192442371742044,1.838928516,1.7803157211742044,0.0,-0.0,-0.0,22.0,4.0,22.0,1.0,0.0,2.1559577873964044,0.0,0.24299065420560753,0.0,1.220295795572193,3.619244237174205
